idr note accession minu foca cras octo rari raik eury petz harp sum
Homo_sapiens genome human 1.109014186051443 0.5888406128515893 0.08218615163344976 2.312868767112722 1.0207379477511447 0.4505877968628248 5.901728596706138 1.787600337980566 0.07765366465563586 13.331218061605513
Chlorella_sp RNAseq GAPD01.1,GDKF01.1,GGGA01.1 1.2213999448673636 1.1691058769723301 0.08218615163344976 4.421348964559793 0.7594936708860759 0.2540908628925704 0.10344358241459099 0.15050697084917616 0.13141389403261453 8.292989919107965
Saccharomyces_cerevisiae  GCA_000146045.2_R64_genomic 0.023325346169342013 0.06860278984678711 0.11153834864539611 0.01638964945432108 0.032318879612173446 0.032184842633058916 0.008166598611678236 0.12674271229404308 0.009955598032773828 0.4292247652995738
Chlorella_sp genome GCA_013372505.1_S68_genomic 0.10390381475434168 0.06288589069288818 0.0 0.1552196213026879 0.06463775922434689 0.01693939085950469 0.005444399074452157 0.0 0.01393783724588336 0.4229687131541049
Candida_albicans_WO-1 budding_yeasts GCA_000149445.2_ASM14944v2_genomic 0.025445832184736745 0.06860278984678711 0.07925093193225513 0.017353746481045852 0.024239159709130084 0.04743029440661314 0.010888798148904314 0.12938318546683567 0.007964478426219062 0.41055921660252703
Aspergillus_japonicus  genomeunplaced.scaf 0.05089166436947349 0.09718728561628173 0.014676098505973172 0.04531256025606417 0.029625639644492323 0.0440424162347122 0.013610997686130393 0.07921419518377693 0.019911196065547657 0.3944720535624521
Helobdella_robusta  GCA_000326865.1_v1.0_genomic 0.033927776246315655 0.07146123942373656 0.04696351521911415 0.020246037561220162 0.03501211957985457 0.03387878171900938 0.010888798148904314 0.11618081960287283 0.015928956852438125 0.38448804435346573
Debaryomyces_fabryi budding_yeasts GCA_001447935.2_debFab1.1_genomic 0.019084374138552556 0.057168991538989244 0.0763157122310605 0.013497358374146774 0.029625639644492323 0.03726665989091032 0.013610997686130393 0.12938318546683567 0.003982239213109531 0.37993515818422735
Mucor_circinelloides  GCA_000696935.1_MucCirB8987-1.0_genomic 0.021204860153947284 0.08575348730848388 0.04696351521911415 0.02121013458794493 0.021545919741448965 0.04234847714876173 0.008166598611678236 0.11618081960287283 0.011946717639328594 0.37532053001358057
Dichomitus_squalens  GCA_000275845.1_v1.0_genomic 0.03816874827710511 0.06860278984678711 0.03522263641433561 0.028922910801743088 0.021545919741448965 0.03387878171900938 0.010888798148904314 0.1108998732572877 0.01393783724588336 0.36206829545250463
Naegleria_gruberi  GCA_000004985.1_V1.0_genomic 0.019084374138552556 0.05145209238509033 0.023481757609557074 0.02121013458794493 0.005386479935362241 0.027103025375207507 0.029944194909486868 0.12674271229404308 0.019911196065547657 0.3243159673007922
Aspergillus_uvarum  genomeunplaced.scaf 0.046650692338684026 0.10862108392407958 0.0058704394023892685 0.04242026917588986 0.024239159709130084 0.03726665989091032 0.008166598611678236 0.005280946345585129 0.02787567449176672 0.3063915238901132
Aspergillus_glaucus  GCF_001890805.1_Aspgl1_genomic 0.04877117835407875 0.06860278984678711 0.0 0.044348463229339406 0.026932399676811204 0.03387878171900938 0.010888798148904314 0.0 0.019911196065547657 0.2533336070404778
Trichomonas_vaginalis_G3 trichomonads GCA_000002825.1_ASM282v1_genomic 0.010602430076973642 0.028584495769494622 0.0058704394023892685 0.006748679187073387 0.010772959870724482 0.0050818172578514075 0.0027221995372260785 0.06337135614702154 0.015928956852438125 0.14968333410119256
Saccharomyces_eubayanus budding_yeasts GCA_001298625.1_SEUB3.0_genomic 0.0 0.014292247884747311 0.06751005312747659 0.0028922910801743086 0.0026932399676811206 0.006775756343801877 0.005444399074452157 0.01320236586396282 0.0 0.11281035334229618
